k,x1,x2,x3,x4,u1,u2,signed_dist,cbf_relax,cbf_margin
0,-10,0,0,0,0,0,4.95683,0,0
1,-8.5,0,3,0,3,-0,3.74205,0,4.44089e-16
2,-5.45946,-0.517293,3.08107,-1.03459,0.0810714,-1.03459,2.45128,0,0
3,-2.76173,-0.0518793,2.31439,1.96541,-0.766682,3,2.46794,0,0
4,-0.954221,0.74745,1.30064,-0.366754,-1.01375,-2.33217,2.27373,0,0
5,0.173208,0.190348,0.954221,-0.74745,-0.346415,-0.380696,1.36132,0,0.925468
6,0.563715,-0.278551,-0.173207,-0.190348,-1.12743,0.557102,1.28317,0,1.87257
7,0.195254,-0.23445,-0.563715,0.278551,-0.390507,0.468899,1.48227,0,2.5311
8,-0.18423,0.0220505,-0.195254,0.23445,0.368461,-0.044101,1.62745,0,2.63154
9,-0.189742,0.12825,0.18423,-0.0220504,0.379484,-0.2565,1.5546,0,2.62052
10,-0.00275605,0.0531,0.189742,-0.12825,0.00551209,-0.1062,1.39476,0,2.8938
11,0.0934932,-0.0375752,0.00275614,-0.0531,-0.186986,0.0751502,1.34612,0,2.81301
12,0.0481247,-0.0453376,-0.0934932,0.0375751,-0.0962493,0.0906751,1.40766,0,2.90375
13,-0.0226842,-0.00388125,-0.0481247,0.0453376,0.0453684,0.00776249,1.49209,0,2.95463
14,-0.0354045,0.0207282,0.0226842,0.00388127,0.0708089,-0.0414563,1.53933,0,2.92919
15,-0.00636015,0.0123047,0.0354045,-0.0207282,0.0127203,-0.0246094,1.5531,0,2.97539
16,0.0145222,-0.00421172,0.00636016,-0.0123047,-0.0290443,0.00842343,1.56243,0,2.97096
17,0.0104412,-0.00825823,-0.0145222,0.00421171,-0.0208823,0.0165165,1.57322,0,2.97912
18,-0.0020405,-0.00202326,-0.0104412,0.00825823,0.00408099,0.00404652,1.57017,0,2.99592
19,-0.00624084,0.00311749,0.00204049,0.00202326,0.0124817,-0.00623497,1.54407,0,2.98752
20,-0.00210018,0.00257038,0.00624084,-0.00311748,0.00420035,-0.00514075,1.50444,0,2.99486
21,0.00207033,-0.000273554,0.00210018,-0.00257038,-0.00414066,0.000547107,1.47011,0,2.99586
22,0.00208526,-0.00142197,-0.00207033,0.000273552,-0.00417051,0.00284393,1.45541,0,2.99583
23,7.46304e-06,-0.000574207,-0.00208526,0.00142197,-1.49261e-05,0.00114841,1.46575,0,2.99885
24,-0.0010389,0.000423879,-7.46408e-06,0.000574208,0.00207779,-0.000847758,1.50051,0,2.99792
25,-0.000523181,0.000499044,0.0010389,-0.000423879,0.00104636,-0.000998087,1.44022,0,2.99895
26,0.000257858,3.75825e-05,0.000523181,-0.000499044,-0.000515716,-7.51648e-05,1.31998,0,2.99948
27,0.00039052,-0.000230731,-0.000257858,-3.75827e-05,-0.000781039,0.000461461,1.23596,0,2.99922
28,6.63311e-05,-0.000134157,-0.00039052,0.000230731,-0.000132662,0.000268313,1.20977,0,2.99973
29,-0.000162094,4.82869e-05,-6.63313e-05,0.000134157,0.000324188,-9.65738e-05,1.2382,0,2.99968
30,-0.000114213,9.12219e-05,0.000162094,-4.82869e-05,0.000228426,-0.000182444,1.29435,0,2.99977
31,2.39407e-05,2.14676e-05,0.000114213,-9.12219e-05,-4.78814e-05,-4.29351e-05,1.34022,0,2.99995
32,6.90768e-05,-3.48772e-05,-2.39406e-05,-2.14676e-05,-0.000138154,6.97543e-05,1.34468,0,2.99986
33,2.25681e-05,-2.81724e-05,-6.90768e-05,3.48772e-05,-4.51362e-05,5.63448e-05,1.2982,0,2.99994
34,-2.32544e-05,3.35238e-06,-2.25681e-05,2.81724e-05,4.65087e-05,-6.70476e-06,1.21718,0,2.99995
35,-2.29113e-05,1.57624e-05,2.32543e-05,-3.35237e-06,4.58225e-05,-3.15248e-05,1.1359,0,2.99995
36,1.71539e-07,6.20502e-06,2.29113e-05,-1.57624e-05,-3.43078e-07,-1.241e-05,1.09022,0,2.99999
37,1.15414e-05,-4.77869e-06,-1.71528e-07,-6.20503e-06,-2.30828e-05,9.55737e-06,1.10117,0,2.99998
38,5.68494e-06,-5.49186e-06,-1.15414e-05,4.77869e-06,-1.13699e-05,1.09837e-05,1.1659,0,2.99999
39,-2.92823e-06,-3.56588e-07,-5.68495e-06,5.49186e-06,5.85646e-06,7.13176e-07,1.25935,0,2.99999
40,-4.30659e-06,2.56764e-06,2.92823e-06,3.56591e-07,8.61317e-06,-5.13527e-06,1.34598,0,2.99999
41,-6.89182e-07,1.46212e-06,4.30659e-06,-2.56764e-06,1.37836e-06,-2.92423e-06,1.39667,0,3
42,1.8087e-06,-5.52761e-07,6.89184e-07,-1.46212e-06,-3.61741e-06,1.10552e-06,1.40235,0,3
43,1.24894e-06,-1.00744e-06,-1.8087e-06,5.5276e-07,-2.49789e-06,2.01488e-06,1.37723,0,3
44,-2.79879e-07,-2.2734e-07,-1.24895e-06,1.00744e-06,5.59758e-07,4.54679e-07,1.35007,0,3
45,-7.64413e-07,3.9005e-07,2.79879e-07,2.2734e-07,1.52882e-06,-7.80099e-07,1.34958,0,3
46,-2.42267e-07,3.08695e-07,7.64412e-07,-3.90049e-07,4.84534e-07,-6.17389e-07,1.3926,0,3
47,2.61073e-07,-4.06772e-08,2.42267e-07,-3.08695e-07,-5.22145e-07,8.13544e-08,1.4787,0,3
48,2.5167e-07,-1.74686e-07,-2.61073e-07,4.06771e-08,-5.0334e-07,3.49372e-07,1.59041,0,3
49,-4.70115e-09,-6.70046e-08,-2.5167e-07,1.74686e-07,9.40229e-09,1.34009e-07,1.70011,0,3
50,-1.28186e-07,5.38408e-08,4.70102e-09,6.70047e-08,2.56371e-07,-1.07681e-07,1.78324,0,3
51,-6.17424e-08,6.04228e-08,1.28186e-07,-5.38407e-08,1.23485e-07,-1.20845e-07,1.8307,0,3
52,3.32217e-08,3.29101e-09,6.17424e-08,-6.04228e-08,-6.64433e-08,-6.58202e-09,1.85203,0,3
