replan_step,i,x1,x2,x3,x4
0,0,-10,0,0,0
0,1,-9.45234,1.5,1.09533,3
0,2,-8.25981,3,1.28972,0
0,3,-7.30868,2.97731,0.612539,-0.0453827
0,4,-6.20536,2.80263,1.59409,-0.30397
0,5,-4.89397,2.05564,1.02869,-1.19002
0,6,-3.5291,0.599941,1.70106,-1.72138
0,7,-1.61032,-1.58846,2.13649,-2.65542
0,8,-0.155343,-3.83593,0.773461,-1.83952
0,9,0.394411,-5.45106,0.326047,-1.39075
0,10,0.519932,-6.61012,-0.0750055,-0.927374
0,11,0.400839,-7.41033,-0.163181,-0.673044
0,12,0.263244,-8.03598,-0.112009,-0.578263
0,13,0.170455,-8.61394,-0.073569,-0.577649
0,14,0.104603,-9.20731,-0.058136,-0.609087
0,15,0.053253,-9.83377,-0.0445634,-0.643844
0,16,0.0176188,-10.4912,-0.0267049,-0.670974
0,17,-0.00135682,-11.1669,-0.0112464,-0.680532
0,18,-0.00816188,-11.8506,-0.00236368,-0.686742
0,19,-0.00820228,-12.5391,0.00228288,-0.69036
0,20,-0.00559813,-13.2292,0.00292543,-0.689755
0,21,-0.00344717,-13.919,0.0013765,-0.689825
0,22,-0.00218696,-14.6085,0.00114392,-0.689325
0,23,-0.00121971,-15.2977,0.000790577,-0.688945
0,24,-0.000527601,-15.9864,0.00059365,-0.688424
0,25,-7.38219e-05,-16.6747,0.000313909,-0.688223
0,26,0.000114278,-17.3628,6.22905e-05,-0.688089
0,27,0.000137157,-18.0509,-1.65332e-05,-0.688072
0,28,0.000108009,-18.739,-4.17627e-05,-0.688075
0,29,7.14313e-05,-19.4271,-3.13921e-05,-0.688088
0,30,4.33949e-05,-20.1152,-2.46806e-05,-0.688097
0,31,2.13896e-05,-20.8033,-1.93299e-05,-0.6881
0,32,1.21685e-07,-21.4914,-2.3206e-05,-0.688103
0,33,-2.60226e-05,-22.1795,-2.90827e-05,-0.688105
0,34,-4.9871e-05,-22.8676,-1.8614e-05,-0.688092
0,35,-5.56e-05,-23.5557,7.15583e-06,-0.688071
0,36,-4.45347e-05,-24.2437,1.49749e-05,-0.688064
0,37,-2.06011e-05,-24.9318,3.28924e-05,-0.68811
0,38,1.93186e-08,-25.6199,8.34831e-06,-0.688112
0,39,4.21723e-06,-26.308,4.75256e-08,-0.68811
0,40,9.59262e-06,-26.9961,1.07033e-05,-0.68811
