k,x1,x2,x3,x4,u1,u2,signed_dist,seg_signed_dist,plan_age,solver_iter
0,-10,0,0,0,0,0,2.00007,2.00007,0,0
1,-10.647,1.46131,-1.29392,2.92261,-1.29392,2.92261,2.92752,2.00597,1,14
2,-11.1689,2.88393,0.249974,-0.0773587,1.5439,-2.99997,4.07062,2.93417,2,14
3,-10.1172,3.26209,1.85358,0.833679,1.60361,0.911038,3.51759,3.51759,3,13
4,-7.46454,4.51212,3.45165,1.66637,1.59807,0.832688,3.53849,3.28812,4,13
5,-4.73354,5.22753,2.01034,-0.23554,-1.44131,-1.90191,3.13458,3.11855,5,13
6,-3.07391,4.48819,1.30891,-1.24314,-0.701429,-1.0076,2.53098,2.53098,6,12
7,-2.71718,4.74504,-0.595448,1.75686,-1.90436,3,2.92504,2.56804,1,12
8,-2.57919,6.50449,0.871422,1.76204,1.46687,0.00517868,4.69037,2.97135,2,13
9,-2.71564,7.39185,-1.14431,0.0126807,-2.01573,-1.74935,5.59277,4.76147,3,12
10,-3.83084,6.78292,-1.08611,-1.23053,0.0581991,-1.24321,4.95037,4.95037,4,12
11,-4.35626,5.33239,0.0352656,-1.67055,1.12137,-0.44002,3.62692,3.62692,5,13
12,-3.4447,3.8589,1.78786,-1.27643,1.7526,0.394118,2.30914,2.30914,6,12
13,-2.94736,4.08247,-0.793184,1.72357,-2.58105,3,2.73056,2.40135,1,12
14,-3.24,5.79544,0.207895,1.70237,1.00108,-0.0212046,4.41193,2.78853,2,13
15,-3.54694,6.80082,-0.821755,0.308407,-1.02965,-1.39396,5.42811,4.45365,3,12
16,-4.33065,6.50122,-0.745683,-0.907615,0.0760721,-1.21602,5.17589,5.17589,4,12
17,-4.63503,5.55588,0.13693,-0.983066,0.882613,-0.0754514,4.32568,4.32568,5,12
18,-3.85802,4.69118,1.4171,-0.746332,1.28017,0.236733,3.47329,3.47329,6,11
19,-3.49086,5.44485,-0.682789,2.25367,-2.09989,3,4.3366,3.57635,1,12
20,-3.61969,7.83387,0.425122,2.52437,1.10791,0.270707,6.83882,4.45513,2,13
21,-4.00358,9.2007,-1.1929,0.20929,-1.61802,-2.31509,8.32573,6.95636,3,13
22,-5.21858,8.60879,-1.23709,-1.39312,-0.0441843,-1.60241,7.8058,7.8058,4,13
23,-5.83314,7.16384,0.00795103,-1.49678,1.24504,-0.103656,6.27564,6.27564,5,13
24,-4.82978,5.79587,1.99878,-1.23916,1.99082,0.257618,4.83474,4.83474,6,12
25,-2.59962,3.62794,2.46155,-3.09671,0.462771,-1.85755,2.50278,2.50278,1,13
26,-0.791714,1.25331,1.15427,-1.65255,-1.30728,1.44417,1.88748,1.71426,2,12
27,-0.0637285,0.177473,0.301704,-0.49912,-0.852563,1.15343,2.48585,1.84367,3,11
28,0.086411,-0.0911046,-0.00142475,-0.038034,-0.303129,0.461086,2.64893,2.46047,4,9
29,0.0615343,-0.0822177,-0.0483286,0.0558079,-0.0469039,0.093842,2.59661,2.59661,5,5
30,0.0230667,-0.0346647,-0.0286067,0.039298,0.0197219,-0.0165099,2.52523,2.52523,6,5
31,0.527703,0.903227,1.03788,1.83649,1.06649,1.79719,2.93354,2.50945,1,12
32,0.657098,1.71662,-0.779089,-0.209708,-1.81697,-2.04619,3.13205,2.90325,2,12
33,0.0564059,1.11376,-0.422296,-0.996001,0.356793,-0.786294,2.41588,2.41588,3,11
34,-0.118465,0.265208,0.0725539,-0.701106,0.49485,0.294896,2.32438,2.32097,4,9
35,0.0741756,-0.192126,0.312727,-0.213562,0.240174,0.487544,2.67813,2.346,5,9
36,0.318966,-0.336986,0.176854,-0.0761576,-0.135873,0.137405,2.93785,2.7068,6,9
37,0.426401,-0.370195,0.0380151,0.00974102,-0.138839,0.0858986,3.05161,2.95432,1,8
38,0.41566,-0.328059,-0.0594973,0.07453,-0.0975123,0.064789,3.07773,3.07757,2,9
39,0.345345,-0.265701,-0.0811326,0.0501852,-0.0216354,-0.0243449,3.04908,3.04908,3,9
40,0.209215,-0.166596,-0.191127,0.148025,-0.109994,0.0978395,2.91152,2.91152,4,9
41,0.0973045,-0.0520718,-0.032694,0.0810247,0.158433,-0.0670001,2.79478,2.79478,5,8
42,0.106285,0.00527076,0.0506559,0.0336605,0.0833499,-0.0473641,2.8127,2.8127,6,8
43,0.159773,0.0554979,0.0563192,0.0667939,0.00566329,0.0331334,2.86729,2.84339,1,8
44,0.168236,0.152659,-0.0393935,0.127528,-0.0957127,0.0607338,2.84704,2.84704,2,9
45,0.165419,0.197646,0.0337593,-0.0375526,0.0731528,-0.16508,2.82575,2.82575,3,9
46,0.200773,0.139713,0.0369493,-0.0783135,0.00318998,-0.0407609,2.87716,2.81804,4,8
47,0.200017,0.104937,-0.038462,0.00876188,-0.0754113,0.0870754,2.88676,2.8698,5,8
48,0.180437,0.100935,-0.000696856,-0.0167677,0.0377651,-0.0255296,2.87683,2.87683,6,8
49,0.253327,0.112349,0.146476,0.0395957,0.147172,0.0563634,2.95786,2.90247,1,8
50,0.378494,0.127412,0.10386,-0.00946847,-0.042616,-0.0490642,3.10256,3.00559,2,9
51,0.429963,0.135913,-0.000921397,0.0264701,-0.104781,0.0359386,3.20382,3.16558,3,9
52,0.403599,0.157735,-0.0518065,0.0171749,-0.0508851,-0.00929515,3.23737,3.23737,4,9
53,0.300297,0.182615,-0.154798,0.0325835,-0.102991,0.0154085,3.19918,3.19918,5,9
54,0.186361,0.153548,-0.0730741,-0.0907176,0.0817237,-0.123301,3.17119,3.17119,6,8
55,0.187645,0.122218,0.0756406,0.0280583,0.148715,0.118776,3.22081,3.20016,1,7
56,0.246128,0.144775,0.0413272,0.0170563,-0.0343134,-0.011002,3.27186,3.24071,2,8
57,0.27802,0.175417,0.0224561,0.0442264,-0.0188711,0.0271702,3.29858,3.29315,3,7
58,0.271117,0.209542,-0.0362621,0.0240239,-0.0587181,-0.0202025,3.30309,3.30309,4,7
59,0.22505,0.213142,-0.0558723,-0.0168226,-0.0196102,-0.0408465,3.31103,3.31103,5,7
60,0.175825,0.183135,-0.0425775,-0.0431916,0.0132948,-0.026369,3.35098,3.35098,6,7
61,0.18409,0.223791,0.0591073,0.124502,0.101685,0.167694,3.38496,3.38496,1,8
62,0.209527,0.325173,-0.00823321,0.0782614,-0.0673405,-0.0462411,3.37627,3.37627,2,9
63,0.236941,0.376767,0.0630614,0.0249275,0.0712946,-0.0533338,3.38722,3.38722,3,8
64,0.298582,0.36195,0.0602211,-0.0545614,-0.00284027,-0.0794889,3.45769,3.40367,4,8
65,0.328631,0.31861,-0.000124675,-0.0321181,-0.0603458,0.0224433,3.52667,3.47471,5,8
66,0.282346,0.283394,-0.0924443,-0.0383151,-0.0923196,-0.00619702,3.5518,3.5518,6,8
67,0.162697,0.187195,-0.146854,-0.154082,-0.0544099,-0.115767,3.60009,3.60009,1,8
68,0.0526739,0.0671326,-0.0731918,-0.0860435,0.0736624,0.0680385,3.70642,3.68183,2,6
69,0.00578761,0.0105515,-0.0205807,-0.0271187,0.052611,0.0589247,3.82222,3.80466,3,5
70,-0.00487281,-0.00431811,-0.000740096,-0.00262044,0.0198406,0.0244983,3.87188,3.87188,4,4
71,-0.00380137,-0.00423548,0.00288297,0.0027857,0.00362306,0.00540614,3.91525,3.91456,5,2
72,-0.00143495,-0.00178889,0.00184988,0.00210747,-0.00103309,-0.000678225,3.9812,3.97784,6,2
73,-0.000217345,-0.000358653,0.00058534,0.000753007,-0.00126454,-0.00135447,4.0649,4.06303,1,2
74,0.000105843,7.88876e-05,6.10348e-05,0.000122075,-0.000524306,-0.000630932,4.10335,4.10335,2,2
75,0.00010684,0.000115268,-5.90396e-05,-4.93142e-05,-0.000120074,-0.000171389,4.13061,4.13061,3,2
76,5.11909e-05,6.20843e-05,-5.22591e-05,-5.70528e-05,6.78056e-06,-7.73859e-06,4.17845,4.17843,4,1
77,1.26252e-05,1.84079e-05,-2.48722e-05,-3.02999e-05,2.73868e-05,2.67529e-05,4.24998,4.24996,5,1
78,-3.01457e-06,-1.38287e-06,-6.40731e-06,-9.28165e-06,1.84649e-05,2.10182e-05,4.33734,4.33733,6,1
79,-6.84705e-06,-6.4139e-06,-1.25764e-06,-7.8041e-07,5.14967e-06,8.50124e-06,4.37368,4.37368,1,1
80,-6.79431e-06,-5.93768e-06,1.36312e-06,1.73285e-06,2.62076e-06,2.51326e-06,4.40316,4.40315,2,1
