k,x1,x2,u1,u2,sd_min,iter
0,-8,-4,-0.00674958,-0.0985354,2.05594,1000
1,-8.00337,-4.04927,0.698119,0.186871,2.06681,1000
2,-7.66106,-4.05437,0.755198,-0.102545,1.72996,1000
3,-6.5921,-4.0173,0.290968,0.158678,0.673134,1000
4,-5.00004,-3.95218,-0.752322,0.632859,-0.880276,1000
5,-3.63867,-3.49128,-0.0893958,0.242106,-2.31727,1000
6,-2.69815,-2.5929,-0.0860171,-0.0475124,-2.27688,1000
7,-1.84534,-1.59722,-0.129079,-0.298178,-0.983836,1000
8,-1.10008,-0.774386,-0.184287,-0.272821,0.120633,1000
9,-0.511505,-0.237053,-0.191187,-0.215487,0.907743,1000
10,-0.110664,0.0561258,-0.168795,-0.142326,1.30687,1000
11,0.110186,0.170398,-0.116425,-0.075402,1.37689,1000
12,0.188425,0.175807,-0.0608728,-0.0241848,1.42908,1000
13,0.178016,0.131423,-0.0182126,0.00491891,1.45256,1000
14,0.128063,0.0774051,0.00687675,0.0160727,1.45535,1000
15,0.0724433,0.0338833,0.0169554,0.0160263,1.44784,1000
16,0.0287391,0.00641109,0.0169436,0.0121144,1.43781,1000
17,0.00198445,-0.00699079,0.0123963,0.00710119,1.41917,1000
18,-0.0101003,-0.0107849,0.00679164,0.00288446,1.40818,1000
19,-0.0125911,-0.00958613,0.00271567,0.000669152,1.40737,1000
20,-0.0103282,-0.00661058,0.00026998,-0.000521356,1.41109,1000
21,-0.00657246,-0.00356113,-0.000909341,-0.000949445,1.41588,1000
22,-0.00313643,-0.00124708,-0.00126929,-0.00100776,1.41991,1000
23,-0.00078972,8.8364e-05,-0.00105579,-0.000677447,1.42235,1000
24,0.000394451,0.000581204,-0.000602767,-0.000278616,1.42279,1000
25,0.000749343,0.000596012,-0.000257407,-7.37033e-05,1.42302,1000
26,0.000674149,0.00043466,-4.60613e-05,2.22027e-05,1.42309,1000
27,0.00044722,0.000247559,5.36252e-05,5.85265e-05,1.42307,1000
28,0.000224074,0.000100821,8.02606e-05,5.78894e-05,1.42303,1000
29,6.78698e-05,1.22921e-05,6.70079e-05,4.09613e-05,1.42299,1000
30,-1.46997e-05,-2.68118e-05,4.24682e-05,2.31692e-05,1.42292,1000
31,-4.25312e-05,-3.38504e-05,1.92099e-05,8.02974e-06,1.4229,1000
32,-3.95236e-05,-2.52896e-05,3.72897e-06,-1.21605e-06,1.42291,1000
33,-2.50466e-05,-1.33219e-05,-5.90354e-06,-6.21397e-06,1.42292,1000
34,-1.1657e-05,-5.0692e-06,-3.33938e-06,-1.64858e-06,1.42294,1000
35,-2.88874e-06,-7.47786e-07,-5.61179e-06,-3.48965e-06,1.42295,1000
36,1.40389e-06,1.00452e-06,-1.59893e-06,-9.86041e-09,1.42295,1000
37,2.09117e-06,1.00706e-06,-5.77201e-07,-1.06179e-07,1.42295,1000
38,1.69037e-06,9.51593e-07,-1.17012e-07,-3.44781e-07,1.42295,1000
39,9.42477e-07,6.70642e-07,0,0,1.42295,1000
