k,x1,x2,x3,x4,u1,u2,XX_11,XX_22,rank1_gap,signed_dist,iter
0,-10,0.1,0,0,2.43512,0.28987,100,0.01,0,3.001,1000
1,-8.78244,0.244935,2.43512,0.28987,-1.31173,0.274329,190.434,62.3924,426.351,1.79036,1000
2,-7.00319,0.67197,1.12339,0.5642,-0.305193,1.56457,499.081,337.015,952.982,0.112888,1000
3,-6.03239,2.01845,0.818197,2.12877,0.307697,-1.40101,822.196,694.055,1530.45,0.267155,1000
4,-5.06035,3.44672,1.12589,0.727761,0.219013,-0.823564,1000,938.371,1935.08,1.44725,1000
5,-3.82495,3.7627,1.34491,-0.095803,-0.171113,-0.881287,1000,1000,2077.54,1.94191,1000
6,-2.5656,3.22625,1.17379,-0.97709,-0.0752136,-0.288029,1000,1000,2119.83,2.04166,1000
7,-1.42941,2.10515,1.09858,-1.26512,-0.417751,0.310002,1000,1000,2149.24,2.14497,1000
8,-0.539705,0.995028,0.680829,-0.955118,-0.35248,0.418062,1000,1000,2177.25,2.56994,1000
9,-0.0351165,0.248941,0.328349,-0.537055,-0.226311,0.313349,1000,1000,2205.06,2.97112,1000
10,0.180077,-0.131439,0.102038,-0.223706,-0.123814,0.190048,1000,1000,2231.28,3.18174,1000
11,0.220208,-0.260121,-0.0217758,-0.0336575,-0.0503584,0.0984652,1000,1000,2247.73,3.22668,1000
12,0.173253,-0.244546,-0.0721342,0.0648076,0.00118089,0.0360555,1000,1000,2246.01,3.17903,1000
13,0.101709,-0.161711,-0.0709533,0.100863,0.0480745,-0.021033,1000,1000,2178.25,3.10427,1000
14,0.0547931,-0.0713642,-0.0228788,0.0798301,0.00179481,-0.0546078,1000,1000,2025.43,3.0553,1000
15,0.0328117,-0.0188379,-0.021084,0.0252223,0.000579645,-0.0141889,1000,1000,1842.02,3.03285,1000
16,0.0120175,-0.000710063,-0.0205044,0.0110335,0.0110152,-0.00629498,1000,1000,1796.2,3.01202,1000
17,-0.00297924,0.0071759,-0.00948916,0.00473848,0.00929516,-0.00524626,1000,1000,1959.3,2.99703,1000
18,-0.00782082,0.00929125,-0.000194001,-0.000507781,0.00342845,-0.00259741,1000,1000,2165.74,2.99219,1000
19,-0.0063006,0.00748476,0.00323444,-0.00310519,-0.00045513,0.000155332,1000,1000,2287.25,2.99371,1000
20,-0.00329372,0.00445724,0.00277932,-0.00294986,-0.00132389,0.000748074,1000,1000,2316.69,2.99671,1000
21,-0.00117635,0.00188142,0.00145542,-0.00220178,-0.000914736,0.00122255,1000,1000,2312.85,2.99882,1000
22,-0.000178302,0.000290914,0.000540684,-0.000979234,-0.000445257,0.000749452,1000,1000,2284.86,2.99982,1000
23,0.000139754,-0.000313594,9.54272e-05,-0.000229782,-0.000150018,0.000283883,1000,1000,2253.16,3.00014,1000
24,0.000160172,-0.000401434,-5.45907e-05,5.41013e-05,-1.95384e-05,8.40833e-05,1000,1000,2220.72,3.00016,1000
25,9.58124e-05,-0.000305291,-7.41291e-05,0.000138185,1.33523e-05,-2.01188e-05,1000,1000,2189.95,3.0001,1000
26,2.83595e-05,-0.000177166,-6.07768e-05,0.000118066,3.68757e-05,-3.62794e-05,1000,1000,2157.73,3.00003,1000
27,-1.39795e-05,-7.724e-05,-2.39012e-05,8.17865e-05,1.21694e-05,-4.15832e-05,1000,1000,2114.76,2.99999,1000
28,-3.1796e-05,-1.62451e-05,-1.17317e-05,4.02033e-05,1.51219e-05,-2.52359e-05,965.744,899.862,1931.29,2.99997,1000
29,-3.59667e-05,1.13402e-05,3.3902e-06,1.49674e-05,1.0047e-05,-1.30437e-05,789.332,649.897,1513.19,2.99996,1000
30,-2.7553e-05,1.97858e-05,1.34372e-05,1.92371e-06,0,0,449.374,338.712,930.881,2.99997,1000
