k,x1,x2,x3,x4,u1,u2,XX_11,XX_22,rank1_gap,signed_dist,iter
0,-10,0.1,0,0,1.75004,0.0445904,100,0.01,0,3.001,1000
1,-9.12498,0.122295,1.75004,0.0445904,-0.901974,-0.056669,184.522,78.5699,430.309,2.12679,1000
2,-7.82592,0.138551,0.848068,-0.0120786,-0.202715,1.63411,481.671,391.476,961.229,0.829319,1000
3,-7.07921,0.943525,0.645353,1.62203,1.23208,0.108844,806.735,755.218,1536.69,0.283281,1000
4,-5.81782,2.61997,1.87743,1.73087,-0.119394,-1.38927,974.762,969.727,1918.28,0.744649,1000
5,-4.00009,3.65621,1.75803,0.341599,-0.642222,-1.23029,1000,1000,2054.83,1.79047,1000
6,-2.56317,3.38266,1.11581,-0.888688,-0.106587,-0.417902,1000,1000,2094.51,2.169,1000
7,-1.50065,2.28503,1.00922,-1.30659,-0.319634,0.277837,1000,1000,2132.77,2.17933,1000
8,-0.651244,1.11735,0.689591,-1.02875,-0.319595,0.451068,1000,1000,2170.33,2.49001,1000
9,-0.121451,0.314137,0.369996,-0.577684,-0.224514,0.322837,1000,1000,2205.28,2.88865,1000
10,0.136288,-0.102129,0.145482,-0.254847,-0.147302,0.21419,1000,1000,2239.82,3.1373,1000
11,0.208118,-0.249881,-0.00182048,-0.0406568,-0.0558077,0.102189,1000,1000,2274.13,3.21411,1000
12,0.178394,-0.239443,-0.0576282,0.0615322,0.00134842,0.0268287,1000,1000,2273.55,3.18393,1000
13,0.12144,-0.164496,-0.0562798,0.0883609,0.0204694,-0.0253591,1000,1000,2184.71,3.12408,1000
14,0.0753948,-0.0888151,-0.0358104,0.0630018,0.005097,-0.0289018,1000,1000,2032,3.07617,1000
15,0.0421329,-0.0402642,-0.0307134,0.0341,0.0093348,-0.0132326,1000,1000,1986.52,3.04229,1000
16,0.0160869,-0.0127804,-0.0213786,0.0208674,0.011659,-0.0120014,1000,1000,2169.29,3.0161,1000
17,0.000537849,0.0020863,-0.00971958,0.00886604,0.00866306,-0.00828263,1000,1000,2393.31,3.00054,1000
18,-0.0048502,0.00681102,-0.00105652,0.0005834,0.00298067,-0.00321273,1000,1000,2471.27,2.99515,1000
19,-0.00441638,0.00578805,0.00192416,-0.00262933,-0.000181552,-0.000173018,1000,1000,2480.51,2.99559,1000
20,-0.002583,0.00307221,0.0017426,-0.00280235,-0.000732544,0.00107639,1000,1000,2466.25,2.99742,1000
21,-0.00120667,0.000808059,0.00101006,-0.00172596,-0.000475905,0.0012111,1000,1000,2432.17,2.99879,1000
22,-0.000434563,-0.000312346,0.000534154,-0.000514855,-0.000320169,0.000584719,1000,1000,2396.69,2.99957,1000
23,-6.04933e-05,-0.000534842,0.000213985,6.98638e-05,-0.000166691,0.000126695,1000,1000,2349.7,2.99994,1000
24,7.01466e-05,-0.00040163,4.72946e-05,0.000196559,-7.00691e-05,-3.32811e-05,1000,1000,2298.76,3.00007,1000
25,8.24067e-05,-0.000221712,-2.27745e-05,0.000163278,-2.44983e-05,-7.12755e-05,1000,1000,2242.09,3.00008,1000
26,4.7383e-05,-9.40722e-05,-4.72728e-05,9.20022e-05,1.67639e-05,-4.09669e-05,1000,1000,2188.76,3.00005,1000
27,8.49218e-06,-2.25535e-05,-3.05089e-05,5.10353e-05,7.283e-06,-3.17921e-05,1000,1000,2134.29,3.00001,1000
28,-1.83752e-05,1.25858e-05,-2.32259e-05,1.92432e-05,2.22274e-05,-1.63851e-05,909.664,942.211,1943.55,2.99998,1000
29,-3.04873e-05,2.36365e-05,-9.98432e-07,2.85816e-06,1.25257e-05,-8.45253e-06,713.464,714.745,1528.43,2.99997,1000
30,-2.52229e-05,2.22684e-05,1.15273e-05,-5.59437e-06,0,0,400.53,384.666,945.135,2.99997,1000
