k,x1,x2,x3,x4,u1,u2,XX_11,XX_22,rank1_gap,signed_dist,iter
0,-8,-4,0,0,-0.154063,-0.901348,64,16,0,2.05594,1000
1,-8.07703,-4.45067,-0.154063,-0.901348,0.689333,0.855498,141.059,105.792,432.646,2.21707,1000
2,-7.88643,-4.92427,0.53527,-0.0458502,0.108755,0.0141204,418.134,436.242,972.128,2.1653,1000
3,-7.29678,-4.96306,0.644025,-0.0317299,1.59474,-0.802076,745.315,795.367,1542.51,1.62568,1000
4,-5.85538,-5.39583,2.23877,-0.833806,0.260087,0.0462098,951.757,975.411,1905.85,0.571808,1000
5,-3.48657,-6.20653,2.49885,-0.787596,-0.850128,1.93502,1000,1000,2025.89,-0.00369662,1000
6,-1.41278,-6.02662,1.64873,1.14742,-0.842598,1.3695,1000,1000,2069.44,0.198259,1000
7,-0.185357,-4.19444,0.806128,2.51692,-0.793016,-0.300008,1000,1000,2103.13,-0.03113,1000
8,0.224262,-1.82752,0.0131117,2.21692,-0.0193158,-1.1637,1000,1000,2121.51,0.524104,1000
9,0.227716,-0.192457,-0.00620407,1.05322,0.0369377,-0.841555,1000,1000,2130.24,1.44598,1000
10,0.239981,0.439985,0.0307336,0.211664,-0.0293849,-0.343483,1000,1000,2139.74,1.28878,1000
11,0.256022,0.479908,0.00134871,-0.131819,-0.0499011,-0.0527528,1000,1000,2155.26,1.27494,1000
12,0.23242,0.321713,-0.0485524,-0.184571,-0.0296474,0.0465018,1000,1000,2169.99,1.36158,1000
13,0.169044,0.160393,-0.0781997,-0.13807,0.00490689,0.0620586,1000,1000,2163.6,1.42589,1000
14,0.0932981,0.0533522,-0.0732929,-0.0760111,0.0278791,0.0491948,1000,1000,2121.27,1.44826,1000
15,0.0339447,0.00193851,-0.0454138,-0.0268163,0.0290821,0.0258954,1000,1000,1999.63,1.44463,1000
16,0.00307204,-0.0119301,-0.0163316,-0.000920937,0.0130337,0.000812596,1000,1000,1802.36,1.41628,1000
17,-0.00674273,-0.0124447,-0.0032979,-0.00010834,0.00328368,0.000194938,1000,1000,1617.66,1.40923,1000
18,-0.00839878,-0.0124556,-1.42116e-05,8.65977e-05,0.00168648,0.00236362,1000,1000,1601.18,1.4081,1000
19,-0.00756975,-0.0111872,0.00167227,0.00245022,0.00130257,0.00197276,1000,1000,1756.57,1.4096,1000
20,-0.0052462,-0.0077506,0.00297484,0.00442298,-0.000472118,-0.000457049,1000,1000,1943.11,1.4137,1000
21,-0.00250743,-0.00355614,0.00250272,0.00396593,-0.00158877,-0.00252751,1000,1000,2072.46,1.41864,1000
22,-0.000799093,-0.000853963,0.00091395,0.00143843,-0.000616161,-0.000970221,1000,1000,2132.16,1.42178,1000
23,-0.000193223,9.93523e-05,0.000297789,0.000468205,-0.000213633,-0.00036706,1000,1000,2142.59,1.42275,1000
24,-2.25023e-06,0.000384027,8.41564e-05,0.000101145,-7.3282e-05,-0.000177498,1000,1000,2135.85,1.42267,1000
25,4.52652e-05,0.000396424,1.08744e-05,-7.6353e-05,-2.51341e-05,-6.51957e-05,1000,1000,2135.91,1.42269,1000
26,4.35726e-05,0.000287473,-1.42596e-05,-0.000141549,-7.01365e-07,1.27712e-05,1000,1000,2149.01,1.42277,1000
27,2.89623e-05,0.00015231,-1.4961e-05,-0.000128777,5.89513e-06,4.72931e-05,1000,1000,2168.33,1.42286,1000
28,1.69488e-05,4.71789e-05,-9.06588e-06,-8.14843e-05,4.61012e-06,4.73773e-05,1000,1000,2184.15,1.42293,1000
29,1.0188e-05,-1.06168e-05,-4.45576e-06,-3.4107e-05,2.06393e-06,3.07854e-05,1000,1000,2191.07,1.42295,1000
30,6.76421e-06,-2.93311e-05,-2.39183e-06,-3.32164e-06,5.55216e-07,1.2954e-05,1000,1000,2189.06,1.42293,1000
31,4.64999e-06,-2.61757e-05,-1.83661e-06,9.63238e-06,1.35516e-07,1.42848e-06,1000,1000,2180.82,1.42294,1000
32,2.88114e-06,-1.58291e-05,-1.7011e-06,1.10609e-05,2.99301e-07,-3.38419e-06,1000,1000,2167.63,1.42294,1000
33,1.32969e-06,-6.46034e-06,-1.4018e-06,7.67667e-06,6.45893e-07,-4.11319e-06,1000,1000,2150.36,1.42295,1000
34,2.50843e-07,-8.40271e-07,-7.55902e-07,3.56348e-06,4.31456e-07,-2.69764e-06,1000,1000,2130.03,1.42295,1000
35,-2.89331e-07,1.37439e-06,-3.24446e-07,8.65838e-07,3.87581e-07,-1.21746e-06,1000,1000,2108.86,1.42295,1000
36,-4.19986e-07,1.6315e-06,6.31352e-08,-3.51619e-07,-1.3972e-08,-1.13665e-07,1000,1000,2078.44,1.42295,1000
37,-3.63837e-07,1.22304e-06,4.91632e-08,-4.65284e-07,1.27869e-10,-3.87215e-08,902.463,947.336,1905.54,1.42295,1000
38,-3.1461e-07,7.384e-07,4.92911e-08,-5.04005e-07,9.31197e-08,3.78968e-08,655.059,767.41,1498.86,1.42295,1000
39,-2.18759e-07,2.53343e-07,1.42411e-07,-4.66108e-07,0,0,343.183,436.831,926.327,1.42295,1000
