k,x1,x2,x3,x4,u1,u2,signed_dist,iter
0,-8,-4,0,0,-0.0408882,-0.922335,2.05594,1000
1,-8.02044,-4.46117,-0.0408882,-0.922335,0.623897,0.932575,2.16447,1000
2,-7.74938,-4.91721,0.583008,0.0102404,-0.196667,0.269952,2.03351,1000
3,-7.26471,-4.772,0.386341,0.280193,1.04667,-0.155016,1.52816,1000
4,-6.35503,-4.56931,1.43301,0.125177,0.131663,0.444502,0.605112,1000
5,-4.85619,-4.22189,1.56468,0.569678,-0.327792,0.76389,-0.904768,1000
6,-3.45541,-3.27026,1.23688,1.33357,0.150875,0.0788671,-2.54414,1000
7,-2.14309,-1.89726,1.38776,1.41244,-0.374067,-0.466617,-1.39869,1000
8,-0.942364,-0.718133,1.01369,0.945819,-0.462536,-0.497262,0.262548,1000
9,-0.159941,-0.0209453,0.551155,0.448557,-0.343445,-0.31793,1.30032,1000
10,0.219492,0.268646,0.20771,0.130626,-0.199821,-0.165131,1.38789,1000
11,0.327292,0.316707,0.00788958,-0.0345044,-0.0913914,-0.0648361,1.43566,1000
12,0.289486,0.249784,-0.0835018,-0.0993405,-0.0240456,-0.00538804,1.45219,1000
13,0.193961,0.14775,-0.107547,-0.104729,0.0200916,0.03251,1.45257,1000
14,0.0964594,0.0592764,-0.0874558,-0.0722185,0.0384678,0.0414117,1.44621,1000
15,0.0282375,0.00776376,-0.048988,-0.0308068,0.0327557,0.0256174,1.43648,1000
16,-0.00437268,-0.0102344,-0.0162323,-0.00518941,0.0147293,0.00464922,1.41247,1000
17,-0.0132404,-0.0130991,-0.00150301,-0.000540185,0.00401578,0.00235524,1.40435,1000
18,-0.0127355,-0.0124617,0.00251278,0.00181505,0.00115632,0.00183969,1.40516,1000
19,-0.00964453,-0.00972682,0.0036691,0.00365474,0.00025269,0.0006013,1.40926,1000
20,-0.00584909,-0.00577143,0.00392179,0.00425604,-0.00114729,-0.00117597,1.41474,1000
21,-0.00250094,-0.00210337,0.0027745,0.00308007,-0.00175646,-0.00229184,1.41971,1000
22,-0.000604675,-0.00016922,0.00101804,0.000788237,-0.000721604,-0.000707771,1.42242,1000
23,5.25584e-05,0.000265132,0.000296432,8.0466e-05,-0.000276464,-0.000142338,1.42279,1000
24,0.000210758,0.000274429,1.99673e-05,-6.18717e-05,-8.79665e-05,-2.2402e-05,1.42289,1000
25,0.000186742,0.000201356,-6.79992e-05,-8.42737e-05,-8.31817e-06,7.35925e-06,1.42293,1000
26,0.000114584,0.000120762,-7.63174e-05,-7.69144e-05,2.35598e-05,2.22053e-05,1.42294,1000
27,5.00463e-05,5.49502e-05,-5.27576e-05,-5.47091e-05,2.69657e-05,2.52303e-05,1.42295,1000
28,1.07715e-05,1.28563e-05,-2.57919e-05,-2.94788e-05,1.85654e-05,1.9652e-05,1.42295,1000
29,-5.73772e-06,-6.79649e-06,-7.22651e-06,-9.82679e-06,8.78093e-06,1.07048e-05,1.42294,1000
30,-8.57376e-06,-1.12709e-05,1.55442e-06,8.77975e-07,2.28059e-06,3.33316e-06,1.42294,1000
31,-5.87905e-06,-8.72634e-06,3.83501e-06,4.21114e-06,-8.20202e-07,-4.71716e-07,1.42294,1000
32,-2.45414e-06,-4.75106e-06,3.01481e-06,3.73942e-06,-1.55661e-06,-1.52146e-06,1.42295,1000
33,-2.17637e-07,-1.77237e-06,1.45819e-06,2.21796e-06,-1.14253e-06,-1.3434e-06,1.42295,1000
34,6.6929e-07,-2.26108e-07,3.1566e-07,8.74565e-07,-4.95751e-07,-7.62409e-07,1.42295,1000
35,7.37075e-07,2.67252e-07,-1.8009e-07,1.12156e-07,-1.08953e-07,-1.66865e-07,1.42295,1000
36,5.02508e-07,2.95976e-07,-2.89044e-07,-5.47085e-08,1.05014e-07,-3.74415e-08,1.42295,1000
37,2.65971e-07,2.22547e-07,-1.8403e-07,-9.21499e-08,3.57605e-08,-6.33574e-09,1.42295,1000
38,9.98215e-08,1.27229e-07,-1.48269e-07,-9.84857e-08,5.38384e-08,-1.17427e-08,1.42295,1000
39,-2.15284e-08,2.2872e-08,-9.44307e-08,-1.10228e-07,0,0,1.42295,1000
