k,x1,x2,x3,x4,u1,u2,XX_11,XX_22,rank1_gap,signed_dist,iter
0,-8,-4,0,0,-2.2781,-2.45046,64,16,0,2.05594,1000
1,-9.13905,-5.22523,-2.2781,-2.45046,1.57768,1.52371,62.8964,15.7241,63.154,3.44899,1000
2,-10.6283,-6.91384,-0.700423,-0.926752,0.861984,1.02116,58.1237,14.5309,93.5965,5.46256,1000
3,-10.8977,-7.33001,0.161562,0.0944048,1.79108,0.463595,49.8311,12.4578,111.919,5.88937,1000
4,-9.84064,-7.00381,1.95264,0.558,0.141051,1.35948,39.2503,9.81257,101.863,4.80291,1000
5,-7.81748,-5.76607,2.09369,1.91748,-0.545248,1.49062,27.938,6.9845,68.4024,2.43495,1000
6,-5.99641,-3.10328,1.54844,3.4081,0.740586,-1.51014,17.3032,4.3258,40.3173,6.24311e-10,1000
7,-4.07767,-0.450247,2.28903,1.89796,-0.130618,-1.94037,8.36176,2.09044,16.3709,7.66973e-10,1000
8,-1.85396,0.477531,2.15841,-0.0424077,-1.06113,0.0202194,1.66027,0.415067,6.49405,1.00719e-10,1000
9,-0.226112,0.445233,1.09728,-0.0221883,-0.766822,0.0375301,-2.68878,-0.672195,4.56237,0.944765,1000
10,0.487753,0.44181,0.330454,0.0153418,-0.38622,-0.0620248,-4.90849,-1.22712,6.77296,1.47776,1000
11,0.625097,0.42614,-0.055766,-0.046683,-0.133762,-0.0742036,-5.43455,-1.35864,7.40208,1.59516,1000
12,0.502451,0.342355,-0.189528,-0.120887,-0.00771504,-0.0242233,-4.79517,-1.19879,6.46552,1.55209,1000
13,0.309065,0.209357,-0.197243,-0.14511,0.0529574,0.0372163,-3.51144,-0.877859,4.73716,1.49393,1000
14,0.138301,0.0828549,-0.144285,-0.107894,0.0698307,0.0602025,-2.02671,-0.506678,2.88144,1.45867,1000
15,0.0289315,0.00506257,-0.0744546,-0.0476911,0.0537709,0.0406278,-0.667064,-0.166766,1.3714,1.43892,1000
16,-0.0186376,-0.0223146,-0.0206837,-0.00706332,0.0232185,0.00940099,0.370392,0.0925981,0.902643,1.39391,1000
17,-0.0277121,-0.0246775,0.00253477,0.00233767,0.00490619,0.00277175,1.00719,0.251799,1.33697,1.38602,1000
18,-0.0227242,-0.0209539,0.00744096,0.00510942,-9.87048e-05,0.00150519,1.25874,0.314684,1.5873,1.39214,1000
19,-0.0153326,-0.0150919,0.00734225,0.00661461,-0.000948233,0.000127452,1.20251,0.300629,1.51689,1.40146,1000
20,-0.00846447,-0.00841355,0.00639402,0.00674206,-0.0022486,-0.00210207,0.945968,0.236492,1.21682,1.41103,1000
21,-0.00319476,-0.00272252,0.00414542,0.00463999,-0.00271445,-0.00344549,0.598928,0.149732,0.811976,1.41878,1000
22,-0.000406563,0.000194725,0.00143097,0.0011945,-0.00117357,-0.00124611,0.253692,0.0634231,0.424546,1.42253,1000
23,0.000437622,0.000766174,0.000257399,-5.16051e-05,-0.000385283,-0.000220291,-0.0261414,-0.00653535,0.215009,1.42269,1000
24,0.000502379,0.000604423,-0.000127884,-0.000271896,-6.10058e-05,4.96697e-05,-0.208623,-0.0521558,0.291617,1.42285,1000
25,0.000343993,0.000357361,-0.000188889,-0.000222227,4.24506e-05,7.85367e-05,-0.289912,-0.0724779,0.367857,1.42292,1000
26,0.000176328,0.000174403,-0.000146439,-0.00014369,6.25229e-05,6.26958e-05,-0.286635,-0.0716589,0.361848,1.42294,1000
27,6.11509e-05,6.20609e-05,-8.39161e-05,-8.09941e-05,4.96223e-05,4.43177e-05,-0.226634,-0.0566585,0.292098,1.42295,1000
28,2.04602e-06,3.22566e-06,-3.42938e-05,-3.66764e-05,2.89122e-05,2.8058e-05,-0.140221,-0.0350553,0.192249,1.42295,1000
29,-1.77917e-05,-1.94218e-05,-5.38159e-06,-8.61846e-06,1.16749e-05,1.36541e-05,-0.0534671,-0.0133668,0.0972092,1.42293,1000
30,-1.73358e-05,-2.12132e-05,6.29329e-06,5.03561e-06,1.62024e-06,3.2678e-06,0.0157598,0.00393996,0.0555886,1.42292,1000
31,-1.02324e-05,-1.45437e-05,7.91353e-06,8.30341e-06,-2.55185e-06,-1.827e-06,0.0589693,0.0147423,0.0798184,1.42293,1000
32,-3.5948e-06,-7.15377e-06,5.36168e-06,6.47642e-06,-3.07294e-06,-2.96526e-06,0.0759628,0.0189907,0.0960513,1.42294,1000
33,2.30417e-07,-2.15999e-06,2.28874e-06,3.51115e-06,-2.00777e-06,-2.33194e-06,0.0723223,0.0180806,0.0913567,1.42295,1000
34,1.51527e-06,1.85197e-07,2.8097e-07,1.17921e-06,-7.80408e-07,-1.208e-06,0.0563796,0.0140949,0.0725203,1.42295,1000
35,1.40604e-06,7.60411e-07,-4.99438e-07,-2.87876e-08,-7.94072e-08,-2.19929e-07,0.0364486,0.00911216,0.0486537,1.42295,1000
36,8.66896e-07,6.21659e-07,-5.78846e-07,-2.48717e-07,2.35414e-07,2.99035e-08,0.0188452,0.00471131,0.0271438,1.42295,1000
37,4.05758e-07,3.87893e-07,-3.43432e-07,-2.18813e-07,1.24966e-07,5.22377e-08,0.00692352,0.00173088,0.0121304,1.42295,1000
38,1.24809e-07,1.95199e-07,-2.18466e-07,-1.66576e-07,1.01993e-07,9.21919e-09,0.00108688,0.000271721,0.00434794,1.42295,1000
39,-4.26604e-08,3.32325e-08,-1.16473e-07,-1.57357e-07,0,0,-0.000452702,-0.000113175,0.00153229,1.42295,1000
