k,x1,x2,x3,x4,u1,u2,XX_11,XX_22,rank1_gap,signed_dist,iter
0,-10,0.1,0,0,-1.1237,-0.101038,100,0.01,0,3.001,1000
1,-10.5619,0.049481,-1.1237,-0.101038,0.43595,-0.231877,98.2756,0.00982756,24.3713,3.56207,1000
2,-11.4676,-0.167496,-0.687751,-0.332915,1.23867,2.47903,90.8184,0.00908184,45.3254,4.46975,1000
3,-11.536,0.739102,0.550919,2.14611,2.74137,0.948891,77.8613,0.00778613,66.6328,4.57765,1000
4,-9.61439,3.35966,3.29228,3.095,-0.0700228,-2.26303,61.3289,0.00613289,82.6467,3.70788,1000
5,-6.35712,5.32314,3.22226,0.831967,-1.50549,-2.00804,43.6537,0.00436537,64.1876,3.49342,1000
6,-3.8876,5.15109,1.71678,-1.17607,-0.365477,-1.02844,27.0369,0.00270369,43.6986,3.26984,1000
7,-2.35356,3.4608,1.3513,-2.20452,-0.241057,0.280803,13.0659,0.00130659,24.4687,2.35669,1000
8,-1.12279,1.39668,1.11024,-1.92371,-0.438522,1.03741,2.59454,0.000259454,8.93863,2.1211,1000
9,-0.231811,-0.00832574,0.67172,-0.886303,-0.385451,0.685586,-4.20139,-0.000420139,5.67666,2.7682,1000
10,0.247183,-0.551836,0.286268,-0.200717,-0.286532,0.353603,-7.67042,-0.000767042,8.01043,3.27612,1000
11,0.390185,-0.575751,-0.000263578,0.152886,-0.113029,0.0164037,-8.49316,-0.000849316,8.724,3.42085,1000
12,0.333407,-0.414663,-0.113292,0.16929,-0.0188986,-0.0170916,-7.49468,-0.000749468,7.72948,3.3495,1000
13,0.210666,-0.25392,-0.132191,0.152198,0.0438978,-0.0401853,-5.48888,-0.000548888,5.77341,3.21685,1000
14,0.100424,-0.121815,-0.0882931,0.112013,0.0480494,-0.0465395,-3.16833,-0.000316833,3.56697,3.10188,1000
15,0.0361554,-0.0330718,-0.0402436,0.065473,0.0188294,-0.0385493,-1.04244,-0.000104244,1.71291,3.03626,1000
16,0.00532653,0.0131266,-0.0214142,0.0269238,0.0125458,-0.0231225,0.580603,5.80603e-05,1.13196,3.00534,1000
17,-0.00981477,0.0284891,-0.0088684,0.00380124,0.010362,-0.0128117,1.57773,0.000157773,1.67689,2.99027,1000
18,-0.0135022,0.0258844,0.00149356,-0.00901049,0.00314938,-0.00185225,1.97235,0.000197235,1.99081,2.98656,1000
19,-0.0104339,0.0159478,0.00464294,-0.0108627,-0.000597239,0.00351394,1.88494,0.000188494,1.90278,2.98959,1000
20,-0.00608963,0.00684207,0.0040457,-0.00734879,-0.00161758,0.00382377,1.48303,0.000148303,1.52647,2.99392,1000
21,-0.00285272,0.00140516,0.00242812,-0.00352502,-0.00123128,0.00247482,0.938415,9.38415e-05,1.01825,2.99715,1000
22,-0.00104025,-0.000882452,0.00119683,-0.0010502,-0.000705458,0.00130202,0.396114,3.96114e-05,0.531794,2.99896,1000
23,-0.000196144,-0.00128165,0.000491375,0.000251813,-0.000344581,0.000260228,-0.0432241,-4.32241e-06,0.27019,2.9998,1000
24,0.000122941,-0.000899721,0.000146794,0.000512041,-0.00015835,-0.000118156,-0.328426,-3.28426e-05,0.366658,3.00012,1000
25,0.00019056,-0.000446758,-1.15557e-05,0.000393885,-7.69491e-05,-0.000196643,-0.453069,-4.53069e-05,0.45986,3.00019,1000
26,0.00014053,-0.000151193,-8.85048e-05,0.000197243,1.36878e-05,-0.000112049,-0.444429,-4.44429e-05,0.449056,3.00014,1000
27,5.88689e-05,-9.97503e-06,-7.4817e-05,8.5194e-05,2.02639e-05,-5.88039e-05,-0.34958,-3.4958e-05,0.360206,3.00006,1000
28,-5.81608e-06,4.58171e-05,-5.45531e-05,2.63901e-05,4.05174e-05,-3.20126e-05,-0.221374,-2.21374e-05,0.238787,2.99999,1000
29,-4.01105e-05,5.62009e-05,-1.40357e-05,-5.62247e-06,3.05034e-05,-1.6591e-05,-0.105951,-1.05951e-05,0.127015,2.99996,1000
30,-3.88945e-05,4.22829e-05,1.64677e-05,-2.22135e-05,0,0,-0.0322383,-3.22383e-06,0.0517885,2.99996,1000
