k,x1,x2,x3,x4,u1,u2,signed_dist,iter
0,6,-1,0,0,0,0,0.219804,0
1,5.73349,-1.86812,-0.533019,-1.73624,-0.533019,-1.73624,0.192166,12
2,5.21588,-2.85764,-0.502199,-0.242804,0.0308197,1.49344,0.871641,12
3,4.7815,-3.46438,-0.366568,-0.970663,0.135632,-0.727859,1.47489,11
4,4.11092,-4.07377,-0.974595,-0.248134,-0.608028,0.722529,2.09054,11
5,3.27508,-3.85555,-0.697076,0.68458,0.277519,0.932714,1.90693,11
6,2.41328,-2.99357,-1.02652,1.03938,-0.329444,0.354802,0.995665,11
7,1.38006,-1.87221,-1.03992,1.20335,-0.0133965,0.163964,0.506184,10
8,0.552932,-0.871107,-0.614349,0.798851,0.425567,-0.404496,1.17465,9
9,0.0898008,-0.243751,-0.311913,0.45586,0.302436,-0.342991,1.62249,8
10,-0.130774,0.0895922,-0.129236,0.210827,0.182677,-0.245033,1.8323,7
11,-0.205949,0.222747,-0.0211127,0.0554829,0.108124,-0.155344,1.9151,7
12,-0.198881,0.236907,0.0352475,-0.027163,0.0563602,-0.0826459,1.90926,7
13,-0.149782,0.193834,0.0629509,-0.0589833,0.0277035,-0.0318203,1.85686,7
14,-0.0804273,0.129018,0.0757587,-0.0706477,0.0128078,-0.0116644,1.78365,7
15,-0.0182126,0.0624711,0.0486708,-0.062447,-0.0270879,0.00820071,1.71899,6
16,0.0119355,0.011178,0.0116252,-0.0401394,-0.0370456,0.0223076,1.68809,6
17,0.0152389,-0.0142975,-0.00501839,-0.0108114,-0.0166436,0.029328,1.6848,5
18,0.0107581,-0.0176702,-0.00394321,0.00406585,0.00107517,0.0148773,1.6893,5
19,0.0071812,-0.0127411,-0.00321052,0.0057925,0.000732691,0.00172666,1.69285,4
20,0.00370487,-0.00772529,-0.00374214,0.00423904,-0.000531614,-0.00155347,1.69631,4
21,0.00129375,-0.0040439,-0.00108012,0.00312374,0.00266202,-0.0011153,1.69871,3
22,0.000567985,-0.00162082,-0.000371409,0.00172243,0.000708707,-0.00140131,1.69943,3
23,0.000156688,-9.89206e-05,-0.000451186,0.00132137,-7.9777e-05,-0.000401055,1.69984,3
24,-0.000174743,0.000788005,-0.000211675,0.000452481,0.000239511,-0.000868889,1.70017,2
25,-0.000278853,0.000965063,3.45425e-06,-9.83664e-05,0.000215129,-0.000550848,1.70028,2
26,-0.000242666,0.000794504,6.892e-05,-0.000242752,6.54657e-05,-0.000144385,1.70024,2
27,-0.000169375,0.000539507,7.76628e-05,-0.000267241,8.74277e-06,-2.44891e-05,1.70017,2
28,-9.52624e-05,0.000303006,7.05621e-05,-0.000205762,-7.10067e-06,6.14792e-05,1.7001,2
29,-3.15259e-05,0.000139426,5.69108e-05,-0.000121399,-1.36513e-05,8.43625e-05,1.70003,2
30,1.35094e-05,5.01756e-05,3.31599e-05,-5.71007e-05,-2.37509e-05,6.42985e-05,1.69999,1
31,3.01776e-05,7.26543e-06,1.76445e-07,-2.87197e-05,-3.29834e-05,2.8381e-05,1.69997,2
32,2.57243e-05,-1.21563e-05,-9.08293e-06,-1.01237e-05,-9.25938e-06,1.8596e-05,1.69997,1
33,1.64938e-05,-1.71803e-05,-9.37819e-06,7.56117e-08,-2.95255e-07,1.01993e-05,1.69998,1
34,8.33987e-06,-1.47668e-05,-6.9296e-06,4.75137e-06,2.44859e-06,4.67576e-06,1.69999,1
35,2.55376e-06,-9.05215e-06,-4.64262e-06,6.67799e-06,2.28698e-06,1.92662e-06,1.7,1
36,-8.68987e-07,-3.15363e-06,-2.20287e-06,5.11906e-06,2.43974e-06,-1.55894e-06,1.7,1
37,-2.05247e-06,6.01694e-07,-1.64087e-07,2.39159e-06,2.03879e-06,-2.72747e-06,1.7,1
38,-1.76795e-06,2.06803e-06,7.33125e-07,5.41077e-07,8.97212e-07,-1.85051e-06,1.7,1
39,-9.71124e-07,2.13114e-06,8.60523e-07,-4.1485e-07,1.27398e-07,-9.55927e-07,1.7,1
40,-2.46213e-07,1.54935e-06,5.89299e-07,-7.48729e-07,-2.71224e-07,-3.33879e-07,1.7,1
41,1.40013e-07,8.07763e-07,1.83152e-07,-7.34449e-07,-4.06147e-07,1.428e-08,1.7,1
42,1.95726e-07,2.53723e-07,-7.17259e-08,-3.7363e-07,-2.54878e-07,3.6082e-07,1.7,1
43,1.12712e-07,-2.72397e-09,-9.43016e-08,-1.39265e-07,-2.25757e-08,2.34365e-07,1.7,1
44,4.1737e-08,-8.07437e-08,-4.76485e-08,-1.67745e-08,4.66531e-08,1.22491e-07,1.7,1
