k,disk,cx,cy,r
0,0,0.5,3.05,0.9
0,1,2.61184,-3.4649,0.8
0,2,3.96106,1.51865,0.7
1,0,0.607603,2.92127,0.9
1,1,2.61356,-3.38551,0.8
1,2,4.02998,1.4451,0.7
2,0,0.649936,2.77812,0.9
2,1,2.56186,-3.31293,0.8
2,2,4.09646,1.3703,0.7
3,0,0.601319,2.62864,0.9
3,1,2.48107,-3.23428,0.8
3,2,4.14912,1.29788,0.7
4,0,0.491244,2.48313,0.9
4,1,2.40918,-3.1395,0.8
4,2,4.17996,1.23087,0.7
5,0,0.38648,2.3505,0.9
5,1,2.38001,-3.02615,0.8
5,2,4.18632,1.171,0.7
6,0,0.350575,2.23516,0.9
6,1,2.40727,-2.9005,0.8
6,2,4.17155,1.11822,0.7
7,0,0.40531,2.13549,0.9
7,1,2.47814,-2.77461,0.8
7,2,4.14416,1.07078,0.7
8,0,0.517482,2.04437,0.9
8,1,2.55929,-2.66067,0.8
8,2,4.11575,1.0256,0.7
9,0,0.61905,1.95173,0.9
9,1,2.61256,-2.56522,0.8
9,2,4.09817,0.979041,0.7
10,0,0.648404,1.84801,0.9
10,1,2.61289,-2.48613,0.8
10,2,4.10063,0.927824,0.7
11,0,0.587738,1.72751,0.9
11,1,2.56012,-2.41357,0.8
11,2,4.12742,0.869796,0.7
12,0,0.473851,1.59042,0.9
12,1,2.47908,-2.33462,0.8
12,2,4.17687,0.804472,0.7
13,0,0.375826,1.4427,0.9
13,1,2.40788,-2.23939,0.8
13,2,4.24178,0.733156,0.7
14,0,0.353123,1.29404,0.9
14,1,2.38,-2.12563,0.8
14,2,4.31115,0.65862,0.7
15,0,0.419514,1.15444,0.9
15,1,2.40856,-1.99982,0.8
15,2,4.3729,0.584421,0.7
16,0,0.534726,1.03077,0.9
16,1,2.48013,-1.8741,0.8
16,2,4.41679,0.514037,0.7
17,0,0.628874,0.924287,0.9
17,1,2.56104,-1.76055,0.8
17,2,4.43699,0.450009,0.7
18,0,0.644849,0.830284,0.9
18,1,2.61324,-1.66556,0.8
18,2,4.43344,0.393324,0.7
19,0,0.57296,0.739675,0.9
19,1,2.61219,-1.58677,0.8
19,2,4.41191,0.34317,0.7
20,0,0.456815,0.642193,0.9
20,1,2.55837,-1.5142,0.8
20,2,4.38257,0.297137,0.7
21,0,0.366865,0.529972,0.9
21,1,2.4771,-1.43495,0.8
21,2,4.35749,0.251805,0.7
22,0,0.357673,0.400294,0.9
22,1,2.4066,-1.33926,0.8
22,2,4.34772,0.203582,0.7
23,0,0.434815,0.256541,0.9
23,1,2.38003,-1.22511,0.8
23,2,4.36054,0.149586,0.7
24,0,0.551497,0.107009,0.9
24,1,2.40988,-1.09915,0.8
24,2,4.39772,0.0883458,0.7
25,0,0.636942,-0.0379844,0.9
25,1,2.48212,-0.973587,0.8
25,2,4.45504,0.0201658,0.7
