k,stage,disk,a0,a1,b
1,0,0,0.999978,0.00666652,-7.99971
1,0,1,0.957173,0.289517,-4.39678
1,0,2,0.966866,-0.255284,-4.11568
1,1,0,0.999911,0.0133321,-7.99911
1,1,1,0.926022,0.377468,-4.11172
1,1,2,0.944562,-0.328332,-3.91147
1,2,0,-0.999958,0.00919435,5.99989
1,2,1,0.341768,0.939784,-0.677481
1,2,2,0.542561,-0.840016,-1.55668
1,3,0,-0.999993,0.00361391,6.00003
1,3,1,-0.83968,0.543082,3.56942
1,3,2,-0.812378,-0.583131,3.11584
1,4,0,-0.999996,0.00283385,6.00003
1,4,1,-0.923772,0.382944,3.63971
1,4,2,-0.918193,-0.396134,3.20574
1,5,0,-0.999996,0.00271409,6.00003
1,5,1,-0.93285,0.360265,3.63782
1,5,2,-0.92883,-0.370506,3.20353
1,6,0,-0.999996,0.00276054,6.00003
1,6,1,-0.929433,0.368991,3.63887
1,6,2,-0.924848,-0.380337,3.20475
1,7,0,-0.999996,0.00282148,6.00003
1,7,1,-0.92475,0.380575,3.63964
1,7,2,-0.919348,-0.393445,3.20566
1,8,0,-0.999996,0.00285432,6.00003
1,8,1,-0.92213,0.38688,3.63977
1,8,2,-0.91625,-0.400608,3.2058
1,9,0,-0.999996,0.00286328,6.00003
1,9,1,-0.921404,0.388607,3.63976
1,9,2,-0.915388,-0.402572,3.2058
1,10,0,-0.999996,0.00286206,6.00003
1,10,1,-0.921503,0.388371,3.63977
1,10,2,-0.915506,-0.402304,3.2058
1,11,0,-0.999996,0.00285919,6.00003
1,11,1,-0.921735,0.387819,3.63977
1,11,2,-0.915782,-0.401676,3.2058
1,12,0,-0.999996,0.00285747,6.00003
1,12,1,-0.921875,0.387487,3.63977
1,12,2,-0.915948,-0.401298,3.2058
1,13,0,-0.999996,0.00285691,6.00003
1,13,1,-0.921921,0.387378,3.63977
1,13,2,-0.916002,-0.401174,3.2058
1,14,0,-0.999996,0.0028569,6.00003
1,14,1,-0.921922,0.387377,3.63977
1,14,2,-0.916003,-0.401172,3.2058
1,15,0,-0.999996,0.00285702,6.00003
1,15,1,-0.921912,0.3874,3.63977
1,15,2,-0.915991,-0.401199,3.2058
1,16,0,-0.999996,0.0028571,6.00003
1,16,1,-0.921905,0.387417,3.63977
1,16,2,-0.915983,-0.401218,3.2058
1,17,0,-0.999996,0.00285714,6.00003
1,17,1,-0.921902,0.387423,3.63977
1,17,2,-0.915979,-0.401225,3.2058
1,18,0,-0.999996,0.00285714,6.00003
1,18,1,-0.921902,0.387424,3.63977
1,18,2,-0.915979,-0.401226,3.2058
1,19,0,-0.999996,0.00285714,6.00003
1,19,1,-0.921902,0.387423,3.63977
1,19,2,-0.91598,-0.401225,3.2058
1,20,0,-0.999996,0.00285713,6.00003
1,20,1,-0.921903,0.387422,3.63977
1,20,2,-0.91598,-0.401224,3.2058
1,21,0,-0.999996,0.00285713,6.00003
1,21,1,-0.921903,0.387422,3.63977
1,21,2,-0.91598,-0.401224,3.2058
1,22,0,-0.999996,0.00285713,6.00003
1,22,1,-0.921903,0.387421,3.63977
1,22,2,-0.91598,-0.401224,3.2058
1,23,0,-0.999996,0.00285713,6.00003
1,23,1,-0.921903,0.387422,3.63977
1,23,2,-0.91598,-0.401224,3.2058
1,24,0,-0.999996,0.00285713,6.00003
1,24,1,-0.921903,0.387422,3.63977
1,24,2,-0.91598,-0.401224,3.2058
1,25,0,-0.999996,0.00285713,6.00003
1,25,1,-0.921903,0.387422,3.63977
1,25,2,-0.91598,-0.401224,3.2058
1,26,0,-0.999996,0.00285713,6.00003
1,26,1,-0.921903,0.387422,3.63977
1,26,2,-0.91598,-0.401224,3.2058
1,27,0,-0.999996,0.00285713,6.00003
1,27,1,-0.921903,0.387422,3.63977
1,27,2,-0.91598,-0.401224,3.2058
1,28,0,-0.999996,0.00285713,6.00003
1,28,1,-0.921903,0.387422,3.63977
1,28,2,-0.91598,-0.401224,3.2058
1,29,0,-0.999996,0.00285713,6.00003
1,29,1,-0.921903,0.387422,3.63977
1,29,2,-0.91598,-0.401224,3.2058
1,30,0,-0.999996,0.00285713,6.00003
1,30,1,-0.921903,0.387422,3.63977
1,30,2,-0.91598,-0.401224,3.2058
1,31,0,-0.999996,0.00285713,6.00003
1,31,1,-0.921903,0.387422,3.63977
1,31,2,-0.91598,-0.401224,3.2058
1,32,0,-0.999996,0.00285713,6.00003
1,32,1,-0.921903,0.387422,3.63977
1,32,2,-0.91598,-0.401224,3.2058
1,33,0,-0.999996,0.00285713,6.00003
1,33,1,-0.921903,0.387422,3.63977
1,33,2,-0.91598,-0.401224,3.2058
1,34,0,-0.999996,0.00285713,6.00003
1,34,1,-0.921903,0.387422,3.63977
1,34,2,-0.91598,-0.401224,3.2058
1,35,0,-0.999996,0.00285713,6.00003
1,35,1,-0.921903,0.387422,3.63977
1,35,2,-0.91598,-0.401224,3.2058
1,36,0,-0.999996,0.00285713,6.00003
1,36,1,-0.921903,0.387422,3.63977
1,36,2,-0.91598,-0.401224,3.2058
1,37,0,-0.999996,0.00285713,6.00003
1,37,1,-0.921903,0.387422,3.63977
1,37,2,-0.91598,-0.401224,3.2058
1,38,0,-0.999996,0.00285713,6.00003
1,38,1,-0.921903,0.387422,3.63977
1,38,2,-0.91598,-0.401224,3.2058
1,39,0,-0.999996,0.00285713,6.00003
1,39,1,-0.921903,0.387422,3.63977
1,39,2,-0.91598,-0.401224,3.2058
1,40,0,-0.999996,0.00285713,6.00003
1,40,1,-0.921903,0.387422,3.63977
1,40,2,-0.91598,-0.401224,3.2058
1,41,0,-0.999996,0.00285713,6.00003
1,41,1,-0.921903,0.387422,3.63977
1,41,2,-0.91598,-0.401224,3.2058
1,42,0,-0.999996,0.00285713,6.00003
1,42,1,-0.921903,0.387422,3.63977
1,42,2,-0.91598,-0.401224,3.2058
1,43,0,-0.999996,0.00285713,6.00003
1,43,1,-0.921903,0.387422,3.63977
1,43,2,-0.91598,-0.401224,3.2058
1,44,0,-0.999996,0.00285713,6.00003
1,44,1,-0.921903,0.387422,3.63977
1,44,2,-0.91598,-0.401224,3.2058
2,0,0,0.999925,0.0122317,-7.99334
2,0,1,0.934537,0.355866,-4.18649
2,0,2,0.948053,-0.318114,-3.93428
2,1,0,-0.999964,0.00849168,5.99399
2,1,1,0.378187,0.925729,-0.934433
2,1,2,0.562736,-0.826637,-1.68167
2,2,0,-0.999994,0.0033322,5.99411
2,2,1,-0.850682,0.52568,3.49966
2,2,2,-0.817776,-0.575537,3.07574
2,3,0,-0.999997,0.00261233,5.99411
2,3,1,-0.930359,0.366651,3.56658
2,3,2,-0.92158,-0.388189,3.16421
2,4,0,-0.999997,0.00250185,5.99411
2,4,1,-0.938798,0.344468,3.56482
2,4,2,-0.931884,-0.362757,3.16206
2,5,0,-0.999997,0.0025447,5.99411
2,5,1,-0.935626,0.352994,3.56579
2,5,2,-0.92803,-0.372506,3.16324
2,6,0,-0.999997,0.00260092,5.99411
2,6,1,-0.93127,0.36433,3.56651
2,6,2,-0.9227,-0.385518,3.16412
2,7,0,-0.999997,0.00263123,5.99411
2,7,1,-0.928829,0.370509,3.56663
2,7,2,-0.919695,-0.392634,3.16427
2,8,0,-0.999997,0.00263949,5.99411
2,8,1,-0.928152,0.372202,3.56663
2,8,2,-0.918859,-0.394587,3.16426
2,9,0,-0.999997,0.00263836,5.99411
2,9,1,-0.928244,0.371971,3.56663
2,9,2,-0.918973,-0.39432,3.16426
2,10,0,-0.999997,0.00263572,5.99411
2,10,1,-0.928461,0.371429,3.56663
2,10,2,-0.919241,-0.393696,3.16427
2,11,0,-0.999997,0.00263413,5.99411
2,11,1,-0.928592,0.371103,3.56663
2,11,2,-0.919402,-0.39332,3.16427
2,12,0,-0.999997,0.00263361,5.99411
2,12,1,-0.928634,0.370997,3.56663
2,12,2,-0.919454,-0.393197,3.16427
2,13,0,-0.999997,0.0026336,5.99411
