k,x1,x2,x3,x4,u1,u2,signed_dist,seg_signed_dist,iter
0,-10,0,0,0,0,0,2.00007,2.00007,0
1,-8.5,-8.6548e-205,3,-1.73096e-204,3,-1.73096e-204,0.506023,0.506023,1000
2,-4.82484,-1.4705e-204,4.35031,5.20919e-205,1.35031,2.25188e-204,0.793948,-0.986066,1000
3,-1.46587,-8.33776e-205,2.36764,7.52531e-205,-1.98268,2.31612e-205,1.80717,0.520023,1000
4,0.0575188,-2.52951e-205,0.679137,4.0912e-205,-1.6885,-3.43412e-205,3.13314,1.76607,1000
5,0.368931,1.01944e-206,-0.0563139,1.17171e-205,-0.735451,-2.91949e-205,3.39604,3.10132,1000
6,0.244944,6.38508e-206,-0.191659,-9.85804e-207,-0.135345,-1.27029e-205,3.24659,3.24659,1000
7,0.0884547,4.23387e-206,-0.12132,-3.31661e-206,0.0703385,-2.3308e-206,3.0661,3.0661,1000
8,0.00688999,1.52713e-206,-0.0418092,-2.09688e-206,0.0795111,1.21973e-206,2.95986,2.95986,1000
9,-0.0150212,1.17825e-207,-0.00201324,-7.21725e-207,0.0397959,1.37516e-206,2.91345,2.91345,1000
10,-0.0120434,-2.60122e-207,0.00796895,-3.41688e-208,0.00998219,6.87556e-207,2.89046,2.88756,1000
11,-0.00504841,-2.08221e-207,0.00602093,1.37971e-207,-0.00194802,1.7214e-207,2.86651,2.85969,1000
12,-0.000827498,-8.71899e-208,0.0024209,1.0409e-207,-0.00360003,-3.38815e-208,2.8317,2.82758,1000
13,0.000553809,-1.42416e-208,0.000341715,4.18068e-208,-0.00207918,-6.22832e-208,2.78549,2.78414,734
14,0.000607645,1.07641e-208,-0.000234042,8.20445e-209,-0.000575757,-3.36023e-208,2.73288,2.73283,2
15,0.000355885,1.28547e-208,-0.000269477,-4.02314e-209,-3.54346e-05,-1.22276e-208,2.68147,2.68147,2
16,0.00013935,8.06008e-209,-0.000163593,-5.5661e-209,0.000105884,-1.54296e-209,2.63821,2.63821,2
17,2.39792e-05,3.44768e-209,-6.71482e-05,-3.6587e-209,9.6445e-05,1.9074e-209,2.60688,2.60688,2
18,-1.64613e-05,8.00329e-210,-1.37328e-05,-1.636e-209,5.34154e-05,2.0227e-209,2.58772,2.58772,2
19,-2.02945e-05,-2.29432e-210,6.06652e-06,-4.23519e-210,1.97993e-05,1.21248e-209,2.57874,2.57874,2
20,-1.28778e-05,-4.05303e-210,8.7669e-06,7.17767e-211,2.70038e-06,4.95296e-210,2.57705,2.57704,2
21,-5.57563e-06,-2.83217e-210,5.83737e-06,1.72396e-210,-2.92953e-06,1.00619e-210,2.57953,2.57952,2
22,-1.33643e-06,-1.33387e-210,2.64103e-06,1.27265e-210,-3.19634e-06,-4.5131e-211,2.58359,2.58358,2
23,3.35123e-07,-3.85041e-211,7.02079e-07,6.25004e-211,-1.93895e-06,-6.47642e-211,2.58776,2.58775,2
24,6.36051e-07,2.48352e-212,-1.00222e-07,1.94748e-211,-8.023e-07,-4.30255e-211,2.59101,2.591,2
25,4.51011e-07,1.22467e-211,-2.69859e-07,5.14992e-214,-1.69637e-07,-1.94233e-211,2.59133,2.59133,2
26,2.14879e-07,9.72971e-212,-2.02405e-07,-5.08545e-212,6.74542e-08,-5.13695e-212,2.5855,2.5855,2
27,6.34066e-08,5.02426e-212,-1.0054e-07,-4.32544e-212,1.01865e-07,7.60015e-213,2.57094,2.57094,2
28,-2.83206e-09,1.69748e-212,-3.19376e-08,-2.32811e-212,6.86021e-08,1.99733e-212,2.54808,2.54808,2
29,-1.91009e-08,1.16037e-213,-5.99952e-10,-8.3478e-213,3.13377e-08,1.49333e-212,2.52095,2.52095,2
30,-1.54494e-08,-3.48675e-213,7.90277e-09,-9.46435e-214,8.50272e-09,7.40136e-213,2.49585,2.49585,2
31,-8.06874e-09,-3.26193e-213,6.85864e-09,1.39607e-213,-1.04414e-09,2.34251e-213,2.4794,2.4794,2
32,-2.77244e-09,-1.84742e-213,3.73397e-09,1.43295e-213,-3.12467e-09,3.68839e-215,2.47657,2.47657,2
33,-2.2565e-10,-7.07297e-214,1.35961e-09,8.47289e-214,-2.37436e-09,-5.85665e-214,2.48868,2.48868,2
34,5.38844e-10,-1.1315e-214,1.69379e-10,3.41003e-214,-1.19023e-09,-5.06286e-214,2.5122,2.5122,2
35,5.16302e-10,9.03415e-215,-2.14463e-10,6.59805e-215,-3.83843e-10,-2.75023e-214,2.54014,2.54014,2
36,2.95847e-10,1.06399e-214,-2.26448e-10,-3.38659e-215,-1.19841e-11,-9.98464e-215,2.56598,2.56598,2
37,1.14864e-10,6.64202e-215,-1.35517e-10,-4.60913e-215,9.09305e-11,-1.22254e-215,2.5872,2.5872,2
38,1.94745e-11,2.82942e-215,-5.52629e-11,-3.01606e-215,8.02541e-11,1.59307e-215,2.60581,2.60581,2
39,-1.37396e-11,6.4971e-216,-1.11653e-11,-1.34336e-215,4.40975e-11,1.67271e-215,2.62619,2.62619,2
40,-1.67784e-11,-1.94302e-216,5.08761e-12,-3.44669e-216,1.6253e-11,9.98687e-216,2.65211,2.65211,2
41,-1.06075e-11,-3.35857e-216,7.25426e-12,6.15593e-217,2.16665e-12,4.06228e-216,2.68453,2.68453,2
42,-4.57498e-12,-2.33593e-216,4.81082e-12,1.42969e-216,-2.44344e-12,8.14101e-217,2.72033,2.72033,2
43,-1.08535e-12,-1.09604e-216,2.16845e-12,1.05008e-216,-2.64237e-12,-3.79616e-217,2.75274,2.75274,2
44,2.8466e-13,-3.14102e-217,5.71565e-13,5.13803e-217,-1.59688e-12,-5.36275e-217,2.77428,2.77428,2
45,5.27202e-13,2.23419e-218,-8.64815e-14,1.59085e-217,-6.58046e-13,-3.54718e-217,2.78138,2.78138,2
46,3.72033e-13,1.01668e-217,-2.23857e-13,-4.34047e-220,-1.37376e-13,-1.5952e-217,2.77764,2.77764,2
47,1.7659e-13,8.03176e-218,-1.67027e-13,-4.2266e-218,5.68301e-14,-4.18319e-218,2.77324,2.77324,2
48,5.17455e-14,4.13235e-218,-8.26619e-14,-3.57221e-218,8.43654e-14,6.54391e-219,2.78082,2.78082,2
49,-2.63424e-15,1.38843e-218,-2.60976e-14,-1.91565e-218,5.65643e-14,1.65656e-218,2.81004,2.81004,2
50,-1.58616e-14,8.88871e-220,-3.57121e-16,-6.8343e-219,2.57405e-14,1.23222e-218,2.86336,2.86336,2
51,-1.27549e-14,-2.90301e-219,6.57048e-15,-7.49459e-220,6.9276e-15,6.08484e-219,2.93453,2.93453,2
52,-6.63719e-15,-2.6955e-219,5.66501e-15,1.16448e-219,-9.05461e-16,1.91394e-219,3.01064,3.01064,2
53,-2.26829e-15,-1.52089e-219,3.07279e-15,1.18472e-219,-2.59223e-15,2.02393e-221,3.07758,3.07758,2
54,-1.75211e-16,-5.79625e-220,1.11337e-15,6.97813e-220,-1.95942e-15,-4.8691e-220,3.12648,3.12648,2
