k,x1,x2,u1,u2,signed_dist,iter
0,-10,0.1,3,1.66434,3.001,1000
1,-8.5,0.932171,1.65892,-1.24767,1.62201,1000
2,-4.67054,1.97268,-2.38424,-1.52817,0,1000
3,-1.20374,1.62526,-1.75632,0.287727,2.12953,1000
4,0.192774,0.657627,-0.657172,0.514098,3.23425,1000
5,0.382544,0.090904,-0.0628421,0.279247,3.38331,1000
6,0.212307,-0.0791464,0.0976194,0.0758884,3.21291,1000
7,0.0594583,-0.0716291,0.0779091,-0.00893319,3.05997,1000
8,-0.00562608,-0.0306341,0.0308768,-0.0219862,2.99447,1000
9,-0.0163176,-0.00509883,0.00392916,-0.0126567,2.98369,1000
10,-0.00960609,0.00311494,-0.00394035,-0.00371813,2.99039,1000
11,-0.00290021,0.0031413,-0.00343973,0.000220577,2.9971,1000
12,0.000115634,0.00141888,-0.00144152,0.000933547,3.00012,1000
13,0.000690848,0.000273514,-0.000225283,0.000571033,3.00069,1000
14,0.000432661,-0.000119558,0.00015627,0.000180123,3.00043,1000
15,0.000139967,-0.000137051,0.000151129,-1.76488e-06,3.00014,1000
16,9.73179e-07,-6.53659e-05,6.69047e-05,-3.9322e-05,3,1000
17,-2.90042e-05,-1.4224e-05,1.22604e-05,-2.56467e-05,2.99997,1000
18,-1.93991e-05,4.43352e-06,-6.05886e-06,-8.6419e-06,2.99998,1000
19,-6.69322e-06,5.94676e-06,-6.60636e-06,-2.86049e-07,2.99999,1000
20,-3.1993e-07,2.99603e-06,-3.08822e-06,1.64126e-06,3,1000
21,1.20607e-06,7.22903e-07,-6.44191e-07,1.14666e-06,3,1000
22,8.65859e-07,-1.5626e-07,2.27876e-07,4.11125e-07,3,1000
23,3.17493e-07,-2.56529e-07,2.87248e-07,2.91636e-08,3,1000
24,2.66887e-08,-1.36653e-07,1.41812e-07,-6.779e-08,3,1000
25,-4.95853e-08,-3.60899e-08,3.29887e-08,-5.10406e-08,3,1000
26,-3.8459e-08,5.05755e-09,-8.23388e-09,-1.94166e-08,3,1000
27,-1.49552e-08,1.09764e-08,-1.24799e-08,-2.01911e-09,3,1000
28,-1.8083e-09,6.17729e-09,-6.53482e-09,2.83744e-09,3,1000
29,1.83122e-09,1.78738e-09,-1.53963e-09,2.41031e-09,3,1000
30,1.43353e-09,2.13527e-11,0,0,3,1000
