k,x1,x2,x3,x4,u1,u2,signed_dist,iter
0,6,0,0,0,-3,0,0.76205,1000
1,4.5,0,-3,0,0.4,0,0.5,1000
2,1.7,0,-2.6,0,1.80679,0,-9.63984e-12,1000
3,0.00339334,0,-0.793213,0,0.82191,0,1.69661,1000
4,-0.378865,0,0.0286963,0,0.169243,0,2.07887,1000
5,-0.265547,0,0.197939,0,-0.0660361,0,1.96555,1000
6,-0.100626,0,0.131903,0,-0.0841061,0,1.80063,1000
7,-0.0107762,0,0.047797,0,-0.0439722,0,1.71078,1000
8,0.0150347,0,0.00382483,0,-0.0118705,0,1.68497,1000
9,0.0129243,0,-0.00804566,0,0.00156486,0,1.68708,1000
10,0.00566107,0,-0.0064808,0,0.00375571,0,1.69434,1000
11,0.00105812,0,-0.0027251,0,0.00227391,0,1.69894,1000
12,-0.000530019,0,-0.000451188,0,0.000746977,0,1.70053,1000
13,-0.000607719,0,0.00029579,0,1.21178e-05,0,1.70061,1000
14,-0.00030587,0,0.000307907,0,-0.000159046,0,1.70031,1000
15,-7.74855e-05,0,0.000148862,0,-0.000113874,0,1.70008,1000
16,1.44394e-05,0,3.49881e-05,0,-4.39184e-05,0,1.69999,1000
17,2.74683e-05,0,-8.93031e-06,0,-5.15735e-06,0,1.69997,1000
18,1.59593e-05,0,-1.40877e-05,0,6.24457e-06,0,1.69998,1000
19,4.99395e-06,0,-7.84309e-06,0,5.52086e-06,0,1.7,1000
20,-8.87101e-08,0,-2.32223e-06,0,2.45811e-06,0,1.7,1000
21,-1.18188e-06,0,1.35879e-07,0,4.79863e-07,0,1.7,1000
22,-8.06073e-07,0,6.15742e-07,0,-2.15874e-07,0,1.7,1000
23,-2.98267e-07,0,3.99869e-07,0,-2.58485e-07,0,1.7,1000
24,-2.76414e-08,0,1.41383e-07,0,-1.32243e-07,0,1.7,1000
25,4.76204e-08,0,9.14045e-09,0,-3.44564e-08,0,1.7,1000
26,3.95326e-08,0,-2.53159e-08,0,5.57499e-09,0,1.7,1000
27,1.70042e-08,0,-1.97409e-08,0,1.16234e-08,0,1.7,1000
28,3.075e-09,0,-8.11753e-09,0,6.87329e-09,0,1.7,1000
29,-1.60588e-09,0,-1.24423e-09,0,2.19707e-09,0,1.7,1000
30,-1.75158e-09,0,9.52838e-10,0,-5.86455e-12,0,1.7,1000
31,-8.01676e-10,0,9.46973e-10,0,-4.96807e-10,0,1.7,1000
32,-1.03106e-10,0,4.50166e-10,0,-3.459e-10,0,1.7,1000
33,1.7411e-10,0,1.04266e-10,0,-1.30335e-10,0,1.7,1000
34,2.13209e-10,0,-2.60687e-11,0,-1.35197e-11,0,1.7,1000
35,1.8038e-10,0,-3.95885e-11,0,1.97797e-11,0,1.7,1000
36,1.50682e-10,0,-1.98088e-11,0,1.68558e-11,0,1.7,1000
37,1.39301e-10,0,-2.95296e-12,0,7.34472e-12,0,1.7,1000
38,1.4002e-10,0,4.39176e-12,0,1.35303e-12,0,1.7,1000
39,1.45088e-10,0,5.74479e-12,0,-7.0193e-13,0,1.7,1000
40,1.50482e-10,0,5.04286e-12,0,-7.94904e-13,0,1.7,1000
41,1.55128e-10,0,4.24796e-12,0,-3.98948e-13,0,1.7,1000
42,1.59176e-10,0,3.84901e-12,0,-9.9049e-14,0,1.7,1000
43,1.62976e-10,0,3.74996e-12,0,2.85501e-14,0,1.7,1000
44,1.6674e-10,0,3.77851e-12,0,0,0,1.7,1000
